gps_time,detector,label,ml_confidence,catalog_snr,available,error,raw_excess_power,residual_excess_power,raw_detected,residual_detected,ep_ratio,killed,survived
1239371924.692,H1,Blip,0.9998,11.82,True,,40.4972,6669.66,False,True,164.694,False,True
1240878869.887,H1,Blip,0.9997,24.62,True,,131.066,7015.43,False,True,53.526,False,True
1242792257.37,H1,Blip,1.0000,41.22,True,,259.095,46508.9,False,True,179.506,False,True
1243254841.282,H1,Blip,0.9998,11.74,True,,47.5169,873.619,False,False,18.3854,False,False
1243293663.069,H1,Blip,1.0000,15.08,True,,82.5095,1049.13,False,False,12.7153,False,False
1244427965.938,H1,Extremely_Loud,0.9780,53.88,True,,68839.2,1.56561e+08,True,True,2274.3,False,True
1244953365.312,H1,Extremely_Loud,0.9929,44.26,True,,192.463,49976.6,False,True,259.669,False,True
1245103735.938,H1,Extremely_Loud,0.9731,32.80,True,,87.0617,12536,False,True,143.989,False,True
1245112246.562,H1,Extremely_Loud,0.9504,44.24,True,,133.608,84101.2,False,True,629.461,False,True
1245113035.625,H1,Extremely_Loud,0.9800,50.71,True,,1104.76,2.21515e+06,True,True,2005.1,False,True
1239370371.199,H1,Koi_Fish,1.0000,59.07,True,,2751.57,118086,True,True,42.9159,False,True
1239696852.889,H1,Koi_Fish,0.9992,56.68,True,,1808.58,2.57891e+06,True,True,1425.93,False,True
1241643373.826,H1,Koi_Fish,0.9897,59.51,True,,1673.16,1.56074e+07,True,True,9328.11,False,True
1242462962.76,H1,Koi_Fish,0.9981,53.62,True,,1506.08,59686.2,True,True,39.6303,False,True
1242573014.018,H1,Koi_Fish,0.9643,33.65,True,,805.553,2592.85,True,True,3.21872,False,True
1238642601.188,H1,Scattered_Light,0.9825,32.81,True,,281.912,601535,False,True,2133.77,False,True
1241074650.688,H1,Scattered_Light,0.9993,10.82,True,,20.9526,184.3,False,False,8.79606,False,False
1245672495.062,H1,Scattered_Light,0.9998,13.86,True,,71.0357,530.206,False,False,7.46395,False,False
1249338924.875,H1,Scattered_Light,0.9991,17.01,True,,32.4552,58.755,False,False,1.81034,False,False
1250040154.312,H1,Scattered_Light,0.9949,17.27,True,,34.1099,61.515,False,False,1.80343,False,False
1240411316.504,H1,Tomte,0.9999,25.98,True,,540.227,535638,True,True,991.505,False,True
1241135652.129,H1,Tomte,0.9999,18.04,True,,272.677,76699.8,False,True,281.284,False,True
1242867694.775,H1,Tomte,0.9594,24.05,True,,355.806,111311,False,True,312.842,False,True
1243637784.379,H1,Tomte,0.9999,25.65,True,,456.485,510083,False,True,1117.41,False,True
1244181450.277,H1,Tomte,1.0000,19.20,True,,253.542,325.334,False,False,1.28316,False,False
1240323397.293,H1,Whistle,1.0000,16.39,True,,149.785,5459.84,False,True,36.4512,False,True
1244056178.154,H1,Whistle,1.0000,10.67,True,,85.9395,19102.8,False,True,222.282,False,True
1244827593.197,H1,Whistle,0.9999,36.82,True,,589.741,173984,True,True,295.018,False,True
1244827626.989,H1,Whistle,0.9998,38.29,True,,513.333,183750,True,True,357.955,False,True
1244830628.489,H1,Whistle,0.9987,33.57,True,,324.93,3.22036e+06,False,True,9910.95,False,True
